N                            num_spins          nnz       t_load      t_setup     t_anneal      t_total
104927                             776         4966     0.001993     0.303793     0.482180     0.802108
11875502333273                   76952       462890     0.192912     0.248052     0.873800     1.320055
130047817                         9352        56442     0.023103     0.232251     0.538411     0.824579
159197                             379         2472     0.001705     0.228635     0.483236     0.763943
1913771                           1977        12498     0.005598     0.231968     0.488451     0.747568
23282377                          4322        26130     0.010535     0.231005     0.498898     0.762406
2455515638143                    57512       355942     0.147752     0.257393     0.777191     1.201764
24613                               87          530     0.000532     0.227246     0.433127     0.720710
27145947923                      24536       151934     0.062042     0.233176     0.603762     0.968046
338699                             563         3590     0.001469     0.228581     0.480906     0.790988
3581495767                       16057       100292     0.040886     0.229667     0.561006     0.910590
364953757313                     39602       238412     0.098347     0.235185     0.686312     1.053757
377977                             902         5472     0.002252     0.229011     0.484602     0.772943
39203                              162          998     0.000711     0.227707     0.435917     0.700710
436820639                        11738        73498     0.029886     0.231766     0.538923     0.834106
51067                              243         1554     0.000767     0.244835     0.434248     0.709863
525851                            1113         7066     0.002802     0.229784     0.481165     0.758765
6761476                           3447        21244     0.008517     0.238529     0.491640     0.759930
90172671887                      28127       174940     0.072076     0.249432     0.620338     0.987707
