N                            num_spins          nnz       t_load      t_setup     t_anneal      t_total
104927                             776         4966     0.000932     0.072760     0.402161     0.480676
11875502333273                   76952       462890     0.092445     0.073458     3.593568     3.764861
130047817                         9352        56442     0.010317     0.072487     0.565010     0.654675
159197                             379         2472     0.000517     0.072959     0.434116     0.511661
1913771                           1977        12498     0.002225     0.072338     0.428563     0.509291
23282377                          4322        26130     0.004742     0.072766     0.449946     0.531545
2455515638143                    57512       355942     0.068881     0.073366     2.749106     2.896900
24613                               87          530     0.000214     0.072129     0.432936     0.510171
27145947923                      24536       151934     0.030792     0.077110     1.138909     1.252123
338699                             563         3590     0.000706     0.071534     0.392758     0.469814
3581495767                       16057       100292     0.018531     0.073119     0.863252     0.959061
364953757313                     39602       238412     0.046057     0.072377     1.844784     1.968482
377977                             902         5472     0.001014     0.071554     0.410445     0.488186
39203                              162          998     0.000283     0.076041     0.440751     0.522371
436820639                        11738        73498     0.013333     0.072606     0.654495     0.744614
51067                              243         1554     0.000370     0.072149     0.573267     0.646272
525851                            1113         7066     0.001309     0.073000     1.304152     1.379006
6761476                           3447        21244     0.003844     0.073535     3.449675     3.527754
90172671887                      28127       174940     0.032962     0.072950     5.411004     5.517877
