bits,P,Q,P_guess,err_pct,P_found,Q_found,wall_s,status
8,223,233,215,3.587,223,233,5.02,OK
10,787,853,757,3.812,787,853,5.03,OK
12,3221,3407,3036,5.744,3221,3407,5.01,OK
14,10909,15451,11668,6.958,10909,15451,5.01,OK
16,34781,45481,36820,5.862,34781,45481,5.01,OK
18,132887,173291,136685,2.858,132887,173291,5.04,OK
20,567143,963031,572711,0.982,567143,963031,5.01,OK
22,3196021,3753859,3040731,4.859,3196021,3753859,5.01,OK
24,11514337,12488881,11205466,2.682,11514337,12488881,5.01,OK
26,33892043,37436219,33663121,0.675,33892043,37436219,5.02,OK
28,152372849,187549421,152618646,0.161,152372849,187549421,5.01,OK
30,1041315439,1062035731,1048019893,0.644,1041315439,1062035731,5.02,OK
32,2575070249,3053314531,2617131451,1.633,2575070249,3053314531,5.02,OK
34,8956187813,9132646949,8811649170,1.614,8956187813,9132646949,5.04,OK
36,63064984651,63377846647,62205807558,1.362,63064984651,63377846647,5.01,OK
38,166246909991,209411522363,176050697314,5.897,166246909991,209411522363,5.01,OK
40,836462244509,1044522697663,882808504323,5.541,836462244509,1044522697663,10.06,OK
42,2882307088433,3298033413607,2745310953509,4.753,2882307088433,3298033413607,15.01,OK
44,12888202082551,12993089233909,12334378959231,4.297,12888202082551,12993089233909,35.05,OK
46,52999865263393,64242328665149,52144634432978,1.614,52999865263393,64242328665149,30.01,OK
48,179091377259791,271340662017907,188616894666589,5.319,179091377259791,271340662017907,170.06,OK
50,573858364692161,726223323360389,579338855570432,0.955,573858364692161,726223323360389,65.01,OK
52,2630498416022537,4278674432379287,2629689282774621,0.031,2630498416022537,4278674432379287,5.05,OK
54,11716130631231709,12424689382920931,11455825221828884,2.222,11716130631231709,12424689382920931,910.03,OK
56,55869511188582769,65838694236679249,57534047936635524,2.979,55869511188582769,65838694236679249,3015.09,OK
58,211435844728861849,278379784933933633,220760256499299929,4.410,211435844728861849,278379784933933633,9565.20,OK
60,620202698229569563,915352470364158391,612785410475571263,1.196,620202698229569563,915352470364158391,4640.10,OK
