N,n_p,n_q,qubo_vars,time_seconds
24613,8,8,87,0.0313
39203,8,8,162,0.0174
51067,8,8,243,0.0187
104927,9,9,776,0.031
159197,9,9,397,0.0259
338699,10,10,563,0.029
377977,10,10,902,0.0325
525851,10,10,1113,0.0371
1913771,11,11,1977,0.0519
6761476,12,12,3447,0.0958
23282377,13,13,4322,0.0966
130047817,14,14,9352,0.1921
436820639,15,15,11738,0.2303
3581495767,16,16,16057,0.3327
27145947923,18,18,24536,0.532
90172671887,19,19,28127,0.5908
364953757313,20,20,39602,0.8711
2455515638143,21,21,57329,1.4034
11875502333273,22,22,76168,1.9878
