N                            num_spins          nnz       t_load      t_setup     t_anneal      t_total
104927                             776         4966     0.000950     0.072636     1.082365     1.156463
11875502333273                   76952       462890     0.100946     0.076195     6.025089     6.203193
130047817                         9352        56442     0.010320     0.072686     4.815551     4.899272
159197                             379         2472     0.000517     0.072647     1.249423     1.323084
1913771                           1977        12498     0.002288     0.072239     2.299294     2.374309
23282377                          4322        26130     0.004680     0.072970     4.328704     4.406979
2455515638143                    57512       355942     0.069472     0.073355     5.795105     5.938823
24613                               87          530     0.000204     0.072886     0.231379     0.304904
27145947923                      24536       151934     0.028187     0.072922     5.376745     5.478662
338699                             563         3590     0.000717     0.072787     0.706206     0.780174
3581495767                       16057       100292     0.021621     0.075653     5.136411     5.234512
364953757313                     39602       238412     0.045450     0.073395     5.616366     5.736081
377977                             902         5472     0.001028     0.072152     2.172262     2.245970
39203                              162          998     0.000284     0.072118     0.462701     0.535520
436820639                        11738        73498     0.013264     0.073728     4.797947     4.885664
51067                              243         1554     0.000368     0.072327     0.666018     0.739163
525851                            1113         7066     0.001308     0.072487     1.240736     1.314989
6761476                           3447        21244     0.003829     0.072355     3.372285     3.449066
90172671887                      28127       174940     0.033416     0.073392     5.447208     5.554828
