N                            num_spins          nnz       t_load      t_setup     t_anneal      t_total
104927                             776         4966     0.000914     0.072739     1.175794     1.250809
11875502333273                   76952       462890     0.092051     0.073272     6.045842     6.212236
130047817                         9352        56442     0.010177     0.072866     4.799181     4.883045
159197                             379         2472     0.000516     0.072583     0.791424     0.865087
1913771                           1977        12498     0.002230     0.072409     2.231086     2.306267
23282377                          4322        26130     0.004757     0.073399     5.174917     5.253815
2455515638143                    57512       355942     0.069786     0.073503     3.425180     3.569420
24613                               87          530     0.000205     0.072674     0.235078     0.308594
27145947923                      24536       151934     0.028793     0.073442     5.383147     5.486239
338699                             563         3590     0.000716     0.073183     1.166217     1.240694
3581495767                       16057       100292     0.018607     0.072742     5.242215     5.334429
364953757313                     39602       238412     0.046109     0.073299     5.620764     5.741140
377977                             902         5472     0.001049     0.073644     1.394806     1.470049
39203                              162          998     0.000282     0.072804     0.276659     0.350244
436820639                        11738        73498     0.013555     0.073487     4.796090     4.883981
51067                              243         1554     0.000373     0.072465     0.601858     0.675206
525851                            1113         7066     0.001313     0.072292     1.207007     1.281159
6761476                           3447        21244     0.003801     0.072185     3.059581     3.136210
90172671887                      28127       174940     0.033353     0.073067     5.442867     5.550179
